date,ticker,open,high,low,close,volume
2015-01-02,AAPL,24.671146843393636,24.682221739158916,23.7763496768566,24.214889526367188,212818400
2015-01-02,AMZN,15.628999710083008,15.737500190734863,15.347999572753906,15.425999641418457,55664000
2015-01-02,GOOGL,26.41170808856967,26.570398279090803,26.177642564071707,26.260459899902344,26480000
2015-01-02,MSFT,39.68263224312552,40.32898316463045,39.580577517469216,39.767677307128906,27913900
2015-01-02,NVDA,0.48298534750938416,0.486584369287145,0.4753074725198347,0.48298534750938416,113680000
2015-01-05,AAPL,23.984545115494743,24.064279632140636,23.34667067211943,23.532716751098633,257142000
2015-01-05,AMZN,15.350500106811523,15.418999671936035,15.042499542236328,15.10949993133545,55484000
2015-01-05,GOOGL,26.14144236480419,26.183097900780766,25.675295730032687,25.760093688964844,41182000
2015-01-05,MSFT,39.436012705126714,39.74218024816531,39.33395793886802,39.40199661254883,39673900
2015-01-05,NVDA,0.4829852615742459,0.4844248700292079,0.47266814391968504,0.47482752799987793,197952000
2015-01-06,AAPL,23.59695036493737,23.794071364016485,23.173914310644687,23.534934997558594,263188400
2015-01-06,AMZN,15.112000465393066,15.149999618530273,14.619000434875488,14.76449966430664,70380000
2015-01-06,GOOGL,25.811663919950004,25.84687249073412,25.070291959217712,25.124345779418945,54456000
2015-01-06,MSFT,39.44450754897456,39.75917821145271,38.73011790695554,38.82366943359375,36447900
2015-01-06,NVDA,0.47554725838925804,0.4760271182656543,0.45995162649178306,0.4604314863681793,197764000
2015-01-07,AAPL,23.74312356503825,23.964607932957605,23.632381381078574,23.864940643310547,160423600
2015-01-07,AMZN,14.875,15.064000129699707,14.766500473022461,14.920999526977539,52806000
2015-01-07,GOOGL,25.33808262798601,25.364859835605216,24.976074833139705,25.050458908081055,46918000
2015-01-07,MSFT,39.10433953809283,39.512561923143025,38.68761393938588,39.31695556640625,29114100
2015-01-07,NVDA,0.4637906558175482,0.4678695373429494,0.4577923342828444,0.4592319428920746,321808000
2015-01-08,AAPL,24.192743208450004,24.83947728974081,24.075355049974863,24.781890869140625,237458000
2015-01-08,AMZN,15.015999794006348,15.156999588012695,14.805500030517578,15.02299976348877,61768000
2015-01-08,GOOGL,24.8699500804736,25.166994516697418,24.54810906238955,25.137737274169922,73054000
2015-01-08,MSFT,39.7591895607952,40.6096535086197,39.73367668052447,40.47357940673828,29645200
2015-01-08,NVDA,0.464510425504989,0.47938628468424854,0.4642704812205812,0.4765070676803589,283780000
2015-01-09,AAPL,24.954652444574595,25.083113830448443,24.40980090321807,24.808473587036133,214798000
2015-01-09,AMZN,15.074000358581543,15.143500328063965,14.833999633789062,14.846500396728516,51848000
2015-01-09,GOOGL,25.200717842806696,25.221545610890498,24.728124245531504,24.830774307250977,42000000
2015-01-09,MSFT,40.490588877343434,40.669185526891724,39.88676025595875,40.133392333984375,23944200
2015-01-09,NVDA,0.47818668974611234,0.48202562723931414,0.47170847915105246,0.47842660546302795,209540000
2015-01-12,AAPL,24.939148543547873,24.945792806630894,24.09750865378446,24.197175979614258,198603200
2015-01-12,AMZN,14.878000259399414,14.92549991607666,14.46399974822998,14.570500373840332,68428000
2015-01-12,GOOGL,24.75738058619834,24.808954375529883,24.34429464256883,24.649274826049805,57138000
2015-01-12,MSFT,40.32899479259629,40.43105279193998,39.42750517489556,39.631614685058594,23651900
2015-01-12,NVDA,0.47962624825768396,0.4798661925660505,0.4681094648989135,0.47242826223373413,190732000
2015-01-13,AAPL,24.680011891872518,24.983446191297645,24.121871831314078,24.412015914916992,268367600
2015-01-13,AMZN,14.87399959564209,15.074999809265137,14.661499977111816,14.737000465393066,82728000
2015-01-13,GOOGL,24.922514988303167,25.22154383043746,24.659192240158898,24.88433074951172,60958000
2015-01-13,MSFT,39.94627351286851,40.74570807255268,39.17235182122141,39.427490234375,35270600
2015-01-13,NVDA,0.4760272138984762,0.48562452776346315,0.46834936852693687,0.47170841693878174,236720000
2015-01-14,AAPL,24.15066585839645,24.471817651304267,24.031064046541807,24.318994522094727,195826400
2015-01-14,AMZN,14.596500396728516,14.795499801635742,14.324999809265137,14.66349983215332,110774000
2015-01-14,GOOGL,24.81589513203065,25.204681985071584,24.703822456627375,25.089136123657227,52800000
2015-01-14,MSFT,39.087318420410156,39.32545050848688,38.7981605768087,39.087318420410156,29719600
