date,ticker,open,high,low,close,volume,ret_1d,ret_5d,ret_21d,ma_dist_10,ma_dist_21,vol_21d,rsi_14,vol_chg_5d,target_fwd_return
2015-02-03,AAPL,26.24590411957077,26.376579118011072,26.04878311832867,26.27912712097168,207662800,-0.5744153932959997,0.3472102243647381,0.4964874594543556,0.16005193360484635,0.23709895330243516,-0.25003635372446703,0.275912526021097,-0.5309685542756115,0.03246164073285551
2015-02-04,AAPL,26.245899926220257,26.691084018363664,26.20381735184991,26.48067283630371,280598800,0.7730840926703167,-0.3640953864379591,0.6175887854913183,0.23799615736743965,0.2943966349617451,-0.3665668970391985,0.39756911834164116,-0.8348305194116605,0.04861879559324356
2015-02-05,AAPL,26.687476575923277,26.73417337157296,26.51626121223278,26.6696891784668,168984800,-0.9251892538815081,-0.5698055585076387,0.3615289858301784,0.0252333901630821,0.19134505405073685,-0.2859420751411194,0.5449982235055792,-0.5451887060496342,0.05436021260140622
2015-02-06,AAPL,26.68746692485604,26.73861012725943,26.338364141156895,26.44509696960449,174826400,-1.228269850639129,-0.5809640799139182,0.22887179618886078,-0.27674255161862754,0.09461621261279826,-0.2647166164578003,0.5746847356143835,0.4183191456504439,0.06852791091023236
2015-02-09,AAPL,26.36060659155632,26.64744762610821,26.33392295502217,26.62076568603516,155559200,1.4101961891787949,-0.2861636892566343,0.16792782078533017,-0.17935405347187006,0.23556388964416727,-0.3429581997764167,0.5703246359766176,0.08855669761087,0.0677416008141607
2015-02-10,AAPL,26.720827708250635,27.161098402837805,26.718605344105995,27.132190704345703,248034000,0.33429473305731605,0.47131577398790175,0.13708165548757842,-0.28492174044195856,0.3045814449578276,-0.35161621112716496,0.6152235137824636,0.8271959541770826,0.054908998064123526
2015-02-11,AAPL,27.29895464505825,27.77702580044334,27.23891859134053,27.76813125610352,294247200,1.6498875397273072,1.4898984714258552,0.369495196676985,1.2135668750251418,0.5965962474467074,-0.4182765885869135,0.7337010930472734,-0.1423021163530864,0.02858735839370241
2015-02-12,AAPL,28.030515402030247,28.34626580003288,27.92156019868773,28.11945915222168,297898000,-0.4329926627723444,0.4597121134102536,0.27825671706506727,0.28135592771857104,0.44433037108961665,-0.6405593484079434,0.6655258753769564,-0.06097740661490687,0.02403909190280329
2015-02-13,AAPL,28.30179524902865,28.30179524902865,27.93935143252056,28.25732421875,217088800,-0.6108807259799911,0.6158401000324619,0.27359125971652887,0.20596039869783883,0.40585663182490905,-0.6691839309313721,0.5791624038050012,0.31712648379563857,0.04658502315494806
2015-02-17,AAPL,28.348496165741523,28.65757616660402,28.2217518372926,28.42409896850586,252609600,0.9803224629008818,0.5541424125523887,0.4806115514381062,0.5400664943597373,0.6476074412642595,-0.8561550076455688,1.0485190682297028,1.2376353053768845,0.033950808238182084
2015-02-18,AAPL,28.379620415611317,28.63533308100466,28.33959580975443,28.62199211120605,179566800,1.483820514413932,0.9808174442509096,0.7175687156801064,1.0027733446737601,0.9215560208935805,-0.8869950161541088,0.9499051705218287,-0.5874724190644369,0.0005437097961125126
2015-02-19,AAPL,28.568619259841725,28.69091711398192,28.535266841858697,28.56194877624512,149449600,-0.9386157652772135,-0.10317545917200711,0.4591991520835437,0.9620448914177433,0.7158622536634064,-0.9118518384763253,0.6703347112878993,-0.9577214341251227,0.015337081836835686
2015-02-20,AAPL,28.599748851580397,28.795425415039062,28.473006272373876,28.795425415039062,195793600,0.3327947366778822,0.8263291418029807,0.5530968864697121,0.8543954617480003,0.6869642487293891,-0.8944503992847381,0.7121974100160734,-0.26295183234038944,-0.008030617278978691
2015-02-23,AAPL,28.91106467691681,29.573692321777344,28.8310154492011,29.573692321777344,283896400,1.5994869177729993,1.507823638771238,0.8519916317165143,1.4333738363473032,1.2599960128115262,-0.8009924574974291,0.9268469703048487,1.606941128433712,-0.029398588802726833
2015-02-24,AAPL,29.56033708275537,29.70709449489252,29.16676162035892,29.38912010192871,276912400,-1.0197462867082239,1.5100237836691066,0.8156194257979017,1.2935926594567007,1.1323572590085438,-0.7693619560184782,0.8610502938009856,1.5980509292741611,-0.02126040254892747
2015-02-25,AAPL,29.253488259355983,29.26238450077333,28.49524484232149,28.63755416870117,298846800,-1.4041165912381526,-0.8800897463049596,0.49884233489930274,-1.2028990243335278,0.23155486623818658,-0.6360316320661633,-0.023304416800562718,1.3658092247422258,-0.0019409462669185418
2015-02-26,AAPL,28.63756014934092,29.10006640489472,28.152820071444435,29.0000057220459,365150000,0.5389325178945211,0.14672101457918435,0.6706671548126426,-0.23272104462054571,0.8123080490342551,-0.40117618453324194,0.2826682436243978,1.528504913049791,-0.03074704582996124
2015-02-27,AAPL,28.90661104284422,29.0333570429424,28.515261222485385,28.564180374145508,248059200,-1.0611002522795152,-0.5134888900770085,-0.27199618153503247,-0.751549377412393,-0.21323356924462783,-0.5821545060023725,0.2365783558839541,0.19435909848879712,-0.014479104601492931
2015-03-02,AAPL,28.73984568797058,28.968874747744582,28.528605721266334,28.70426750183105,192386800,-0.8089513756806858,-1.153090982211209,-0.5621894497520546,-0.9575437853271002,-0.5124965729532326,-0.6901134013288714,-0.41984995127556346,-0.9332838091261797,-0.015106015208810497
